[2025-09-18 18:14:29] [INFO    ] discord.client: logging in using static token
[2025-09-18 18:14:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Referee-bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1418144347295055882', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5202', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '5c1f3224a5ebe6c61ae6f8c25c63cd09', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1418147827779108905'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['finland', 'warsaw', 'stockholm', 'bucharest', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1418144347295055882', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-sf8l",{"micros":270114,"calls":["id_created",{"micros":349,"calls":[]},"session_lookup_time",{"micros":617,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-39",{"micros":268031,"calls":["start_session",{"micros":251702,"calls":["discord-api-rpc-86698cf5bc-t4dpj",{"micros":109252,"calls":["get_user",{"micros":16389},"get_guilds",{"micros":3072},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":2618},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":64308},"apex_experiments",{"micros":22313},"user_activities",{"micros":6},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":331,"calls":[]},"guilds_started",{"micros":57,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15817,"calls":[]},"connect_finished",{"micros":15884,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-18 18:14:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 18:14:31] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 5c1f3224a5ebe6c61ae6f8c25c63cd09).
[2025-09-18 18:14:31] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-18 18:14:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'hub_type': None, 'members': [{'user': {'username': 'Referee-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1418144347295055882', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5202', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1418148037955682364'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T08:14:00.342000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'splash': None, 'inventory_settings': None, 'verification_level': 0, 'profile': None, 'region': 'deprecated', 'presences': [], 'large': False, 'joined_at': '2025-09-18T08:14:00.342000+00:00', 'system_channel_id': '1418147828391481407', 'afk_channel_id': None, 'id': '1418147827779108905', 'safety_alerts_channel_id': None, 'nsfw_level': 0, 'name': 'Сервер already_takent', 'application_id': None, 'home_header': None, 'afk_timeout': 300, 'incidents_data': None, 'latest_onboarding_question_id': None, 'vanity_url_code': None, 'mfa_level': 0, 'owner_id': '1073660278497103932', 'threads': [], 'soundboard_sounds': [], 'guild_scheduled_events': [], 'explicit_content_filter': 0, 'activity_instances': [], 'roles': [{'version': 1758183190197, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1418147827779108905', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758183240208, 'unicode_emoji': None, 'tags': {'bot_id': '1418144347295055882'}, 'position': 1, 'permissions': '76864', 'name': 'Referee-bot', 'mentionable': False, 'managed': True, 'id': '1418148037955682364', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_features': None, 'description': None, 'max_members': 25000000, 'preferred_locale': 'en-US', 'stickers': [], 'application_command_counts': {}, 'default_message_notifications': 0, 'features': [], 'premium_tier': 0, 'max_stage_video_channel_users': 50, 'icon': None, 'voice_states': [], 'max_video_channel_users': 25, 'banner': None, 'owner_configured_content_level': 0, 'channels': [{'version': 1758183190206, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Текстовые каналы', 'id': '1418147828391481405', 'flags': 0}, {'version': 1758183190211, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Голосовые каналы', 'id': '1418147828391481406', 'flags': 0}, {'version': 1758183190227, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418147828391481405', 'name': 'основной', 'last_message_id': '1418148039117377607', 'id': '1418147828391481407', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1758183190238, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1418147828391481406', 'name': 'Основной', 'last_message_id': None, 'id': '1418147828391481408', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'premium_progress_bar_enabled': False, 'rules_channel_id': None, 'stage_instances': [], 'lazy': True, 'embedded_activities': [], 'member_count': 2, 'unavailable': False, 'moderator_reporting': None, 'version': 1758183190245, 'system_channel_flags': 0, 'nsfw': False, 'public_updates_channel_id': None, 'discovery_splash': None, 'emojis': []}}
[2025-09-18 18:14:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 18:14:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '5cb2f2847989cee6faac823b40c47bc1', 'members': [{'user': {'username': 'already_takent', 'public_flags': 0, 'primary_guild': None, 'id': '1073660278497103932', 'global_name': 'already_takent', 'display_name_styles': None, 'display_name': 'already_takent', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4bd715ec3ecf68941bb92e5bf5db1a5b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T08:13:10.093000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Referee-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1418144347295055882', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5202', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1418148037955682364'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-18T08:14:00.342000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1418147827779108905', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-18 18:14:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 18:14:31] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1418147827779108905.
[2025-09-18 18:14:33] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-18 18:14:33] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-18 18:15:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-09-18 18:15:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-18 18:15:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-09-18 18:15:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
